"despensa";"alimento";"quantidade"
1;"banana";2876,64600776369
1;"linguica";509,012185398024
1;"iorgute";2908,64105941728
1;"ovo";981,666357553331
1;"frango";1454,32052970864
1;"molho-de-tomate";494,468980100937
1;"margarina";363,58013242716
1;"fuba";4362,96158912592
1;"granola";1454,32052970864
1;"mussarela";552,641801289283
1;"arroz";1454,32052970864
1;"xerem";1454,32052970864
2;"arroz";5693,84549977258
2;"feijao";2277,53819990903
2;"oleo";2049,78437991813
2;"farinha-de-mandioca";1138,76909995452
2;"farinha-de-trigo";1138,76909995452
2;"cafe";569,384549977258
2;"fuba";1138,76909995452
2;"macarrao";1138,76909995452
2;"salsicha";569,384549977258
2;"acuca";3416,30729986355
2;"sal";1138,76909995452
2;"molho-de-tomate";387,181493984535
2;"manteiga";569,384549977258
2;"achocolatado-em-po";455,507639981806
2;"biscoito-sal";455,507639981806
2;"biscoito-maizena";455,507639981806
2;"goiabada";569,384549977258
2;"leite-em-po";455,507639981806
2;"linguica";1138,76909995452
2;"tomate";865,464515965432
2;"iorgute";546,609167978168
2;"frango";1138,76909995452
2;"charque";364,406111985445
2;"goma-de-mandioca";1138,76909995452
2;"pepino";432,732257982716
2;"laranja";449,813794482034
2;"pao";325,687962586991
2;"oregano";9,11015279963613
2;"ameixa";364,406111985445
2;"sardinha";95,6566043961793
3;"acuca";3343,72023586184
3;"arroz";3343,72023586184
3;"cafe";167,186011793092
3;"molho-de-tomate";227,372976038605
3;"farinha-de-mandioca";334,372023586184
3;"farinha-de-trigo";668,744047172368
3;"feijao";668,744047172368
3;"floco-de-milho";334,372023586184
3;"fuba";334,372023586184
3;"goiabada";334,372023586184
3;"macarrao";1003,11607075855
3;"milho-de-pipoca";66,8744047172368
3;"oleo";601,869642455131
3;"povilho";668,744047172368
3;"sal";668,744047172368
3;"tempero";334,372023586184
4;"tomate";570,249445578083
4;"iorgute";360,157544575632
4;"frango";750,328217865899
4;"charque";240,105029717088
4;"goma-de-mandioca";750,328217865899
4;"pepino";285,124722789042
4;"laranja";296,37964605703
4;"pao";214,593870309647
4;"oregano";6,00262574292719
4;"ameixa";240,105029717088
4;"arroz";3751,6410893295
4;"feijao";1500,6564357318
4;"oleo";1350,59079215862
4;"farinha-de-mandioca";750,328217865899
4;"farinha-de-trigo";750,328217865899
4;"cafe";375,16410893295
4;"fuba";750,328217865899
4;"macarrao";750,328217865899
4;"salsicha";375,16410893295
4;"acuca";2250,9846535977
4;"sal";750,328217865899
4;"molho-de-tomate";255,111594074406
4;"manteiga";375,16410893295
4;"achocolatado-em-po";300,13128714636
4;"biscoito-sal";300,13128714636
4;"biscoito-maizena";300,13128714636
4;"sardinha";255,111594074406
4;"goiabada";375,16410893295
4;"leite-em-po";300,13128714636
4;"linguica";750,328217865899
5;"iorgute";1178,97606082261
5;"ovo";1591,61768211052
5;"goma-de-mandioca";1178,97606082261
5;"banana";1419,48717723042
5;"limao";282,954254597425
5;"queijo";459,800663720816
5;"empanado";353,692818246782
5;"acuca";5894,88030411303
5;"arroz";5894,88030411303
5;"cafe";294,744015205652
5;"molho-de-tomate";400,851860679686
5;"farinha-de-mandioca";589,488030411303
5;"farinha-de-trigo";1178,97606082261
5;"feijao";1178,97606082261
5;"floco-de-milho";589,488030411303
5;"fuba";589,488030411303
5;"goiabada";589,488030411303
5;"macarrao";1768,46409123391
5;"milho-de-pipoca";117,897606082261
5;"oleo";1061,07845474035
5;"povilho";1178,97606082261
5;"sal";1178,97606082261
5;"tempero";589,488030411303
6;"ovo";458,500448375707
6;"frango";1358,51984703913
6;"limao";271,703969407827
6;"rapadura";237,740973231848
6;"granola";169,814980879892
6;"acucar";5434,07938815653
6;"arroz";3396,29961759783
6;"feijao";1358,51984703913
6;"oleo";1222,66786233522
